"ACAN"	"AIM1L"	"CDH24"	"CDKN2A"	"CENPE"	"CLEC4M"	"FAM83F"	"GNAZ"	"KDM8"	"KIF18A"	"LPL"	"MYOM2"	"PRAMEF9"	"PZP"	"SEMA5B"	"cg02871891"
"394"	5.392317423	3	5.930737338	7.6794801	6.754887502	5.700439718	4.523561956	8.266786541	9.278449458	5	6.266786541	4.247927513	1.584962501	7.357552005	6.845490051	0.728909901
"358"	2	7.247927513	5.672425342	9.523561956	9.01402047	0	2.321928095	8.174925683	6.820178962	8.451211112	7.483815777	2.584962501	0	2.807354922	5.129283017	0.799379949
"257"	1	8.495855027	7.400879436	6.714245518	8.159871337	0	0	7.383704292	7.714245518	7.294620749	7.383704292	4.169925001	0	1	9.129283017	0.918093265
"191"	3.906890596	6.569855608	4.523561956	10.24555271	10.55650605	0	5.426264755	8.511752654	5.523561956	8.994353437	7.6794801	1	0	0	8.696967526	0.853463609
"32"	4.392317423	5.285402219	7.569855608	8.939579214	7.169925001	1.584962501	0	6.247927513	10.54303182	5.977279923	7.554588852	6.794415866	7.312882955	3.169925001	7.74819285	0.634220988
"269"	6.832890014	5.044394119	6.614709844	9.344295908	8.082149041	0	0	10.06069593	7.714245518	7.06608919	6.820178962	7	3.906890596	4.459431619	6.930737338	0.8884285
"390"	3.169925001	5.554588852	6.06608919	8.049848549	7.076815597	0	0	7.383704292	10.01541505	5.129283017	6.523561956	6.820178962	1.584962501	4.95419631	7.330916878	0.897133945
"82"	6.189824559	3.169925001	5.209453366	9.453270634	8.988684687	4.247927513	2	7.942514505	7.741466986	7.247927513	9.535275377	3.169925001	1.584962501	7.622051819	6.95419631	0.557086848
"44"	1	5.95419631	7.700439718	10.73978061	7.721099189	1.584962501	4.459431619	7.707359132	8.921840937	7.06608919	6.523561956	3	0	4.95419631	7.06608919	0.840512433
"409"	2	6.820178962	6.882643049	9.216745858	8.832890014	0	0	5.044394119	6.714245518	7.303780748	7.434628228	2.584962501	0	1.584962501	7.839203788	0.725441376
"228"	3.584962501	6.357552005	5.700439718	11.05460432	5.95419631	0	6.832890014	6.741466986	10.61654884	6.569855608	9.247927513	3	7.14974712	3.700439718	6.714245518	0.358457531
"389"	9.523561956	7.851749041	6.392317423	8.361943774	6.22881869	0	2	10.17242751	10.6617781	6.247927513	6.62935662	3.906890596	0	1.584962501	7.491853096	0.885713341
"39"	2.321928095	1.584962501	6.044394119	5.832890014	7.499845887	0	0	7.189824559	6.409390936	6.189824559	4.523561956	3.321928095	0	5.727920455	6.62935662	0.891963221
"210"	4.807354922	3.807354922	8.826548487	10.30833903	9.422064766	0	2.584962501	9.321928095	7.531381461	7.400879436	6.672425342	1	4.087462841	7.64385619	6.087462841	0.733804239
"60"	9.068778278	3.169925001	6.599912842	7.523561956	6.285402219	0	1	9.002815016	9.292321633	3.906890596	8.912889336	3.807354922	0	11.98655315	9.888743249	0.754746353
