cases_methyl,sample_type,cg00632019,cg00636124,cg01755539,cg02411582,cg02871891,cg03101936,cg06329197,cg07361448,cg08572679,cg09140090,cg09632858,cg10214171,cg10221365,cg16752029,cg24206694,cg24705286,cg27118526
TCGA-2V-A95S-01A-11D-A36Y-05,Primary Tumor,0.896073269,0.024401956,0.019046461,0.671183086,0.874050684,0.781287406,0.025605882,0.881184104,0.019986442,0.012111004,0.913320332,0.032272045,0.901632548,0.052319117,0.038877665,0.08093695,0.021669224
TCGA-2Y-A9GS-01A-12D-A383-05,Primary Tumor,0.93391596,0.219341176,0.019109826,0.752188304,0.840672256,0.398879419,0.081585944,0.914130509,0.019997193,0.012510878,0.943861988,0.061675513,0.498921752,0.136879893,0.07942264,0.129065788,0.02634351
TCGA-2Y-A9GT-01A-11D-A383-05,Primary Tumor,0.949773115,0.223762687,0.015097135,0.705426069,0.780461191,0.497148776,0.068890046,0.94098024,0.01987472,0.012190855,0.951439853,0.024366047,0.704100676,0.062660023,0.08126839,0.113340888,0.049511921
TCGA-2Y-A9GU-01A-11D-A383-05,Primary Tumor,0.932822282,0.173919013,0.018038649,0.78553262,0.810044827,0.571527712,0.050692401,0.935973589,0.019424746,0.010974908,0.943013239,0.032577769,0.931974523,0.068177374,0.054254161,0.079413276,0.029812988
TCGA-2Y-A9GV-01A-11D-A383-05,Primary Tumor,0.931471705,0.263414592,0.018783128,0.407670579,0.378430527,0.404461625,0.063939403,0.893238278,0.022329219,0.013211603,0.94252514,0.037353595,0.413498999,0.074978251,0.038539535,0.11900778,0.029316151
TCGA-2Y-A9GW-01A-11D-A383-05,Primary Tumor,0.910138362,0.227638665,0.020162825,0.713795034,0.847407876,0.536271738,0.053585085,0.919204145,0.023685892,0.013476534,0.951116916,0.031010116,0.712399809,0.114459706,0.060641942,0.140890157,0.031181418
TCGA-2Y-A9GX-01A-11D-A383-05,Primary Tumor,0.916900871,0.254634991,0.019236261,0.644202457,0.728909901,0.536377594,0.085764956,0.917899682,0.019257468,0.011508299,0.945059328,0.028616473,0.845463478,0.078268251,0.07400916,0.168260959,0.030168259
TCGA-2Y-A9GY-01A-11D-A383-05,Primary Tumor,0.938402919,0.242041094,0.015553971,0.33330052,0.748394664,0.599070422,0.056393489,0.770969591,0.018801923,0.012280471,0.929624973,0.030045193,0.748579652,0.077032075,0.045828254,0.138600458,0.025582699
TCGA-2Y-A9GZ-01A-11D-A39G-05,Primary Tumor,0.875857866,0.05824736,0.02088786,0.529746627,0.66341759,0.241121049,0.037844086,0.747289609,0.025147992,0.014700721,0.926537406,0.031333704,0.599346633,0.057512311,0.034513449,0.113320324,0.022976491
TCGA-2Y-A9H0-01A-11D-A383-05,Primary Tumor,0.929379247,0.200049668,0.018568568,0.66699265,0.862896488,0.600814091,0.036137633,0.835118457,0.021906217,0.012798081,0.938176651,0.038360169,0.889285549,0.05680569,0.050473319,0.192680378,0.074831425
